Código,Nome,Setor,MO,MFCL,RA,RPL,NotaL,LC,D/PL,Receita,CLA,CRA,LPA,RPA,VPA,DPA
NATU3,Natura Cosmeticos SA,Consumer Defensive,0.0926,0.0067,0.0286,0.2164,0.003839804196800001,1.59,2.96,12795000000.0,-0.0489,0.092,0.9832134848657009,29.67032202560529,5.81,0.5
PCAR4,Companhia Brasileira De Distribuicao A,Consumer Cyclical,0.0489,0.005,0.0246,0.10490000000000001,0.00063094203,1.19,0.46,47886000000.0,-0.213,-0.1201,4.1221042217841966,179.44643887668911,41.57,1.41
PETR3,Petroleo Brasileiro SA Petrobras,Energy,0.1814,0.21170000000000003,0.021,0.0636,0.05129021872800002,1.6,1.16,94805000000.0,0.0,-0.1481,0.37832036490474913,7.2678140212350035,20.87,0.03
PETR4,Petroleo Brasileiro SA Petrobras,Energy,0.1814,0.21170000000000003,0.021,0.0636,0.05129021872800002,1.6,1.16,94805000000.0,0.0,-0.1481,0.37832036490474913,7.2678140212350035,20.87,0.03
QUAL3,Qualicorp SA,Healthcare,0.3419,0.2232,0.1042,0.1723,1.3700811382128,1.64,0.27,1961000000.0,0.44670000000000004,0.11599999999999999,1.3878245761484866,6.924997439763823,8.16,1.25
RADL3,Raia Drogasil SA,Consumer Defensive,0.0538,-0.005,0.07730000000000001,0.161,-0.0033477857000000005,1.61,0.2,14306000000.0,0.32170000000000004,0.1968,1.5708898076795021,43.3008662594662,10.22,0.62
RAIL3,Rumo SA,Industrials,0.2708,0.1075,0.009899999999999999,0.0335,0.00965466315,1.65,1.26,6585000000.0,0,0,0.16933714769534708,4.22380726353735,5.15,0
RENT3,Localiza Rent A Car SA,Consumer Cyclical,0.1589,-0.013999999999999999,0.0524,0.23149999999999998,-0.026985732759999995,1.11,2.27,7896000000.0,0.1139,0.17629999999999998,0.9123013944782924,10.931004265251284,4.31,0.27
SANB11,Banco Santander (Brasil) SA,Financial Services,0,0.7940999999999999,0.0167,0.125,0.0,0,0.82,33451000000.0,0.10369999999999999,0.1011,1.508829063829844,4.461007690840738,0,0
SBSP3,Companhia De Saneamento Basico Do Estado De Sao Paulo,Utilities,0.26649999999999996,0.1197,0.0481,0.1076,0.16510062277799994,1.33,0.62,16129000000.0,0.0567,0.061500000000000006,2.8382905882869305,23.597313865195826,27.49,1.03
SMLS3,Smiles Fidelidade SA,Consumer Cyclical,0.4877,0.6098,0.2585,0.6551,50.36262084459101,1.72,0,1385000000.0,0.1728,0.04190000000000001,4.864729902785943,11.15505118436843,7.99,3.79
SUZB3,Suzano Papel E Celulose SA,Basic Materials,0.3716,0.29109999999999997,0.0077,0.0269,0.0224058237788,5.08,2.69,13437000000.0,0.0,0.09539999999999998,0.2336070993050556,9.871001865918341,8.9,0.19
